infinitive,infinitive_english,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,future 1p-s,future 2p-s,future 3p-s,future 1p-p,future 2p-p,future 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,preterite 1p-s,preterite 2p-s,preterite 3p-s,preterite 1p-p,preterite 2p-p,preterite 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,present perfect 1p-s,present perfect 2p-s,present perfect 3p-s,present perfect 1p-p,present perfect 2p-p,present perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,preterite perfect 1p-s,preterite perfect 2p-s,preterite perfect 3p-s,preterite perfect 1p-p,preterite perfect 2p-p,preterite perfect 3p-p,conditional perfect 1p-s,conditional perfect 2p-s,conditional perfect 3p-s,conditional perfect 1p-p,conditional perfect 2p-p,conditional perfect 3p-p,subjunctive present 1p-s,subjunctive present 2p-s,subjunctive present 3p-s,subjunctive present 1p-p,subjunctive present 2p-p,subjunctive present 3p-p,subjunctive imperfect 1p-s,subjunctive imperfect 2p-s,subjunctive imperfect 3p-s,subjunctive imperfect 1p-p,subjunctive imperfect 2p-p,subjunctive imperfect 3p-p,subjunctive future 1p-s,subjunctive future 2p-s,subjunctive future 3p-s,subjunctive future 1p-p,subjunctive future 2p-p,subjunctive future 3p-p,subjunctive present perfect 1p-s,subjunctive present perfect 2p-s,subjunctive present perfect 3p-s,subjunctive present perfect 1p-p,subjunctive present perfect 2p-p,subjunctive present perfect 3p-p,subjunctive future perfect 1p-s,subjunctive future perfect 2p-s,subjunctive future perfect 3p-s,subjunctive future perfect 1p-p,subjunctive future perfect 2p-p,subjunctive future perfect 3p-p,subjunctive past perfect 1p-s,subjunctive past perfect 2p-s,subjunctive past perfect 3p-s,subjunctive past perfect 1p-p,subjunctive past perfect 2p-p,subjunctive past perfect 3p-p,imperative affirmative present 1p-s,imperative affirmative present 2p-s,imperative affirmative present 3p-s,imperative affirmative present 1p-p,imperative affirmative present 2p-p,imperative affirmative present 3p-p,imperative negative present 1p-s,imperative negative present 2p-s,imperative negative present 3p-s,imperative negative present 1p-p,imperative negative present 2p-p,imperative negative present 3p-p
acordarse,to remember,me acuerdo,te acuerdas,se acuerda,nos acordamos,os acordáis,se acuerdan,me acordaré,te acordarás,se acordará,nos acordaremos,os acordaréis,se acordarán,me acordaba,te acordabas,se acordaba,nos acordábamos,os acordabais,se acordaban,me acordé,te acordaste,se acordó,nos acordamos,os acordasteis,se acordaron,me acordaría,te acordarías,se acordaría,nos acordaríamos,os acordaríais,se acordarían,me he acordado,te has acordado,se ha acordado,nos hemos acordado,os habéis acordado,se han acordado,me habré acordado,te habrás acordado,se habrá acordado,nos habremos acordado,os habréis acordado,se habrán acordado,me había acordado,te habías acordado,se había acordado,nos habíamos acordado,os habíais acordado,se habían acordado,me hube acordado,te hubiste acordado,se hubo acordado,nos hubimos acordado,os hubisteis acordado,se hubieron acordado,me habría acordado,te habrías acordado,se habría acordado,nos habríamos acordado,os habríais acordado,se habrían acordado,me acuerde,te acuerdes,se acuerde,nos acordemos,os acordéis,se acuerden,me acordara,te acordaras,se acordara,nos acordáramos,os acordarais,se acordaran,me acordare,te acordares,se acordare,nos acordáremos,os acordareis,se acordaren,me haya acordado,te hayas acordado,se haya acordado,nos hayamos acordado,os hayáis acordado,se hayan acordado,me hubiere acordado,te hubieres acordado,se hubiere acordado,nos hubiéremos acordado,os hubiereis acordado,se hubieren acordado,me hubiera acordado,te hubieras acordado,se hubiera acordado,nos hubiéramos acordado,os hubierais acordado,se hubieran acordado,N/A,acuérdate,acordaos,N/A,acuérdese,acuérdense,N/A,no te acuerdes,no os acordéis,N/A,no se acuerde,no se acuerden
acortar,to shorten,acorto,acortas,acorta,acortamos,acortáis,acortan,acortaré,acortarás,acortará,acortaremos,acortaréis,acortarán,acortaba,acortabas,acortaba,acortábamos,acortabais,acortaban,acorté,acortaste,acortó,acortamos,acortasteis,acortaron,acortaría,acortarías,acortaría,acortaríamos,acortaríais,acortarían,he acortado,has acortado,ha acortado,hemos acortado,habéis acortado,han acortado,habré acortado,habrás acortado,habrá acortado,habremos acortado,habréis acortado,habrán acortado,había acortado,habías acortado,había acortado,habíamos acortado,habíais acortado,habían acortado,hube acortado,hubiste acortado,hubo acortado,hubimos acortado,hubisteis acortado,hubieron acortado,habría acortado,habrías acortado,habría acortado,habríamos acortado,habríais acortado,habrían acortado,acorte,acortes,acorte,acortemos,acortéis,acorten,acortara,acortaras,acortara,acortáramos,acortarais,acortaran,acortare,acortares,acortare,acortáremos,acortareis,acortaren,haya acortado,hayas acortado,haya acortado,hayamos acortado,hayáis acortado,hayan acortado,hubiere acortado,hubieres acortado,hubiere acortado,hubiéremos acortado,hubiereis acortado,hubieren acortado,hubiera acortado,hubieras acortado,hubiera acortado,hubiéramos acortado,hubierais acortado,hubieran acortado,N/A,acorta,acortad,N/A,acorte,acorten,N/A,no acortes,no acortéis,N/A,no acorte,no acorten
acostar,to put to bed,acuesto,acuestas,acuesta,acostamos,acostáis,acuestan,acostaré,acostarás,acostará,acostaremos,acostaréis,acostarán,acostaba,acostabas,acostaba,acostábamos,acostabais,acostaban,acosté,acostaste,acostó,acostamos,acostasteis,acostaron,acostaría,acostarías,acostaría,acostaríamos,acostaríais,acostarían,he acostado,has acostado,ha acostado,hemos acostado,habéis acostado,han acostado,habré acostado,habrás acostado,habrá acostado,habremos acostado,habréis acostado,habrán acostado,había acostado,habías acostado,había acostado,habíamos acostado,habíais acostado,habían acostado,hube acostado,hubiste acostado,hubo acostado,hubimos acostado,hubisteis acostado,hubieron acostado,habría acostado,habrías acostado,habría acostado,habríamos acostado,habríais acostado,habrían acostado,acueste,acuestes,acueste,acostemos,acostéis,acuesten,acostara,acostaras,acostara,acostáramos,acostarais,acostaran,acostare,acostares,acostare,acostáremos,acostareis,acostaren,haya acostado,hayas acostado,haya acostado,hayamos acostado,hayáis acostado,hayan acostado,hubiere acostado,hubieres acostado,hubiere acostado,hubiéremos acostado,hubiereis acostado,hubieren acostado,hubiera acostado,hubieras acostado,hubiera acostado,hubiéramos acostado,hubierais acostado,hubieran acostado,N/A,acuesta,acostad,N/A,acueste,acuesten,N/A,no acuestes,no acostéis,N/A,no acueste,no acuesten
acostarse,to go to bed/lie down,me acuesto,te acuestas,se acuesta,nos acostamos,os acostáis,se acuestan,me acostaré,te acostarás,se acostará,nos acostaremos,os acostaréis,se acostarán,me acostaba,te acostabas,se acostaba,nos acostábamos,os acostabais,se acostaban,me acosté,te acostaste,se acostó,nos acostamos,os acostasteis,se acostaron,me acostaría,te acostarías,se acostaría,nos acostaríamos,os acostaríais,se acostarían,me he acostado,te has acostado,se ha acostado,nos hemos acostado,os habéis acostado,se han acostado,me habré acostado,te habrás acostado,se habrá acostado,nos habremos acostado,os habréis acostado,se habrán acostado,me había acostado,te habías acostado,se había acostado,nos habíamos acostado,os habíais acostado,se habían acostado,me hube acostado,te hubiste acostado,se hubo acostado,nos hubimos acostado,os hubisteis acostado,se hubieron acostado,me habría acostado,te habrías acostado,se habría acostado,nos habríamos acostado,os habríais acostado,se habrían acostado,me acueste,te acuestes,se acueste,nos acostemos,os acostéis,se acuesten,me acostara,te acostaras,se acostara,nos acostáramos,os acostarais,se acostaran,me acostare,te acostares,se acostare,nos acostáremos,os acostareis,se acostaren,me haya acostado,te hayas acostado,se haya acostado,nos hayamos acostado,os hayáis acostado,se hayan acostado,me hubiere acostado,te hubieres acostado,se hubiere acostado,nos hubiéremos acostado,os hubiereis acostado,se hubieren acostado,me hubiera acostado,te hubieras acostado,se hubiera acostado,nos hubiéramos acostado,os hubierais acostado,se hubieran acostado,N/A,acuéstate,acostaos,N/A,acuéstese,acuéstense,N/A,no te acuestes,no os acostéis,N/A,no se acueste,no se acuesten
acostumbrar,to be accustomed to/be in the habit of OR to get,acostumbro,acostumbras,acostumbra,acostumbramos,acostumbráis,acostumbran,acostumbraré,acostumbrarás,acostumbrará,acostumbraremos,acostumbraréis,acostumbrarán,acostumbraba,acostumbrabas,acostumbraba,acostumbrábamos,acostumbrabais,acostumbraban,acostumbré,acostumbraste,acostumbró,acostumbramos,acostumbrasteis,acostumbraron,acostumbraría,acostumbrarías,acostumbraría,acostumbraríamos,acostumbraríais,acostumbrarían,he acostumbrado,has acostumbrado,ha acostumbrado,hemos acostumbrado,habéis acostumbrado,han acostumbrado,habré acostumbrado,habrás acostumbrado,habrá acostumbrado,habremos acostumbrado,habréis acostumbrado,habrán acostumbrado,haya actuado,hayas actuado,haya actuado,hayamos actuado,hayáis actuado,hayan actuado,había acostumbrado,habías acostumbrado,había acostumbrado,habíamos acostumbrado,habíais acostumbrado,habían acostumbrado,hube acostumbrado,hubiste acostumbrado,hubo acostumbrado,hubimos acostumbrado,hubisteis acostumbrado,hubieron acostumbrado,habría acostumbrado,habrías acostumbrado,habría acostumbrado,habríamos acostumbrado,habríais acostumbrado,habrían acostumbrado,acostumbre,acostumbres,acostumbre,acostumbremos,acostumbréis,acostumbren,acostumbrara,acostumbraras,acostumbrara,acostumbráramos,acostumbrarais,acostumbraran,acostumbrare,acostumbrares,acostumbrare,acostumbráremos,acostumbrareis,acostumbraren,haya acostumbrado,hayas acostumbrado,haya acostumbrado,hayamos acostumbrado,hayáis acostumbrado,hayan acostumbrado,hubiere acostumbrado,hubieres acostumbrado,hubiere acostumbrado,hubiéremos acostumbrado,hubiereis acostumbrado,hubieren acostumbrado,hubiera acostumbrado,hubieras acostumbrado,hubiera acostumbrado,hubiéramos acostumbrado,hubierais acostumbrado,hubieran acostumbrado,N/A,acostumbra,acostumbrad,N/A,acostumbre,acostumbren
actuar,to act/perform/actuate/operate,haya actuado,hayas actuado,haya actuado,hayamos actuado,hayáis actuado,hayan actuado,me acostumbro,te acostumbras,se acostumbra,nos acostumbramos,os acostumbráis,se acostumbran,me acostumbraré,te acostumbrarás,se acostumbrará,nos acostumbraremos,os acostumbraréis,se acostumbrarán,me acostumbraba,te acostumbrabas,se acostumbraba,nos acostumbrábamos,os acostumbrabais,se acostumbraban,me acostumbré,te acostumbraste,se acostumbró,nos acostumbramos,os acostumbrasteis,se acostumbraron,me acostumbraría,te acostumbrarías,se acostumbraría,nos acostumbraríamos,os acostumbraríais,se acostumbrarían,me he acostumbrado,te has acostumbrado,se ha acostumbrado,nos hemos acostumbrado,os habéis acostumbrado,se han acostumbrado,me habré acostumbrado,te habrás acostumbrado,se habrá acostumbrado,nos habremos acostumbrado,os habréis acostumbrado,se habrán acostumbrado,me había acostumbrado,te habías acostumbrado,se había acostumbrado,nos habíamos acostumbrado,os habíais acostumbrado,se habían acostumbrado,me hube acostumbrado,te hubiste acostumbrado,se hubo acostumbrado,nos hubimos acostumbrado,os hubisteis acostumbrado,se hubieron acostumbrado,me habría acostumbrado,te habrías acostumbrado,se habría acostumbrado,nos habríamos acostumbrado,os habríais acostumbrado,se habrían acostumbrado,me acostumbre,te acostumbres,se acostumbre,nos acostumbremos,os acostumbréis,se acostumbren,me acostumbrara,te acostumbraras,se acostumbrara,nos acostumbráramos,os acostumbrarais,se acostumbraran,me acostumbrare,te acostumbrares,se acostumbrare,nos acostumbráremos,os acostumbrareis,se acostumbraren,me haya acostumbrado,te hayas acostumbrado,se haya acostumbrado,nos hayamos acostumbrado,os hayáis acostumbrado,se hayan acostumbrado,me hubiere acostumbrado,te hubieres acostumbrado,se hubiere acostumbrado,nos hubiéremos acostumbrado,os hubiereis acostumbrado,se hubieren acostumbrado,me hubiera acostumbrado,te hubieras acostumbrado,se hubiera acostumbrado,nos hubiéramos acostumbrado,os hubierais acostumbrado,se hubieran acostumbrado,N/A,acostúmbrate,acostumbraos,N/A,acostúmbrese,acostúmbrense
acostumbrarse,to get used to/get accustomed to,me acostumbro,te acostumbras,se acostumbra,nos acostumbramos,os acostumbráis,se acostumbran,actúo,actúas,actúa,actuamos,actuáis,actúan,actuaré,actuarás,actuará,actuaremos,actuaréis,actuarán,actuaba,actuabas,actuaba,actuábamos,actuabais,actuaban,actué,actuaste,actuó,actuamos,actuasteis,actuaron,actuaría,actuarías,actuaría,actuaríamos,actuaríais,actuarían,he actuado,has actuado,ha actuado,hemos actuado,habéis actuado,han actuado,habré actuado,habrás actuado,habrá actuado,habremos actuado,habréis actuado,habrán actuado,había actuado,habías actuado,había actuado,habíamos actuado,habíais actuado,habían actuado,hube actuado,hubiste actuado,hubo actuado,hubimos actuado,hubisteis actuado,hubieron actuado,habría actuado,habrías actuado,habría actuado,habríamos actuado,habríais actuado,habrían actuado,actúe,actúes,actúe,actuemos,actuéis,actúen,actuara,actuaras,actuara,actuáramos,actuarais,actuaran,actuare,actuares,actuare,actuáremos,actuareis,actuaren,hubiere actuado,hubieres actuado,hubiere actuado,hubiéremos actuado,hubiereis actuado,hubieren actuado,hubiera actuado,hubieras actuado,hubiera actuado,hubiéramos actuado,hubierais actuado,hubieran actuado,N/A,actúa,actuad,N/A,actúe,actúen,N/A,no actúes,no actuéis,N/A,no actúe,no actúen
adivinar,to guess/fortell/prophesy OR to guess correctly,adivino,adivinas,adivina,adivinamos,adivináis,adivinan,adivinaré,adivinarás,adivinará,adivinaremos,adivinaréis,adivinarán,adivinaba,adivinabas,adivinaba,adivinábamos,adivinabais,adivinaban,adiviné,adivinaste,adivinó,adivinamos,adivinasteis,adivinaron,adivinaría,adivinarías,adivinaría,adivinaríamos,adivinaríais,adivinarían,he adivinado,has adivinado,ha adivinado,hemos adivinado,habéis adivinado,han adivinado,habré adivinado,habrás adivinado,habrá adivinado,habremos adivinado,habréis adivinado,habrán adivinado,había adivinado,habías adivinado,había adivinado,habíamos adivinado,habíais adivinado,habían adivinado,hube adivinado,hubiste adivinado,hubo adivinado,hubimos adivinado,hubisteis adivinado,hubieron adivinado,habría adivinado,habrías adivinado,habría adivinado,habríamos adivinado,habríais adivinado,habrían adivinado,adivine,adivines,adivine,adivinemos,adivinéis,adivinen,adivinara,adivinaras,adivinara,adivináramos,adivinarais,adivinaran,adivinare,adivinares,adivinare,adivináremos,adivinareis,adivinaren,haya adivinado,hayas adivinado,haya adivinado,hayamos adivinado,hayáis adivinado,hayan adivinado,hubiere adivinado,hubieres adivinado,hubiere adivinado,hubiéremos adivinado,hubiereis adivinado,hubieren adivinado,hubiera adivinado,hubieras adivinado,hubiera adivinado,hubiéramos adivinado,hubierais adivinado,hubieran adivinado,N/A,adivina,adivinad,N/A,adivine,adivinen,N/A,no adivines,no adivinéis,N/A,no adivine,no adivinen
admirar,to admire/respect/look up to,admiro,admiras,admira,admiramos,admiráis,admiran,admiraré,admirarás,admirará,admiraremos,admiraréis,admirarán,admiraba,admirabas,admiraba,admirábamos,admirabais,admiraban,admiré,admiraste,admiró,admiramos,admirasteis,admiraron,admiraría,admirarías,admiraría,admiraríamos,admiraríais,admirarían,he admirado,has admirado,ha admirado,hemos admirado,habéis admirado,han admirado,habré admirado,habrás admirado,habrá admirado,habremos admirado,habréis admirado,habrán admirado,había admirado,habías admirado,había admirado,habíamos admirado,habíais admirado,habían admirado,hube admirado,hubiste admirado,hubo admirado,hubimos admirado,hubisteis admirado,hubieron admirado,habría admirado,habrías admirado,habría admirado,habríamos admirado,habríais admirado,habrían admirado,admire,admires,admire,admiremos,admiréis,admiren,admirara,admiraras,admirara,admiráramos,admirarais,admiraran,admirare,admirares,admirare,admiráremos,admirareis,admiraren,haya admirado,hayas admirado,haya admirado,hayamos admirado,hayáis admirado,hayan admirado,hubiere admirado,hubieres admirado,hubiere admirado,hubiéremos admirado,hubiereis admirado,hubieren admirado,hubiera admirado,hubieras admirado,hubiera admirado,hubiéramos admirado,hubierais admirado,hubieran admirado,N/A,admira,admirad,N/A,admire,admiren,N/A,no admires,no admiréis,N/A,no admire,no admiren
admitir,to admit/accept/allow/recognize,admito,admites,admite,admitimos,admitís,admiten,admitiré,admitirás,admitirá,admitiremos,admitiréis,admitirán,admitía,admitías,admitía,admitíamos,admitíais,admitían,admití,admitiste,admitió,admitimos,admitisteis,admitieron,admitiría,admitirías,admitiría,admitiríamos,admitiríais,admitirían,he admitido,has admitido,ha admitido,hemos admitido,habéis admitido,han admitido,habré admitido,habrás admitido,habrá admitido,habremos admitido,habréis admitido,habrán admitido,había admitido,habías admitido,había admitido,habíamos admitido,habíais admitido,habían admitido,hube admitido,hubiste admitido,hubo admitido,hubimos admitido,hubisteis admitido,hubieron admitido,habría admitido,habrías admitido,habría admitido,habríamos admitido,habríais admitido,habrían admitido,admita,admitas,admita,admitamos,admitáis,admitan,admitiera,admitieras,admitiera,admitiéramos,admitierais,admitieran,admitiere,admitieres,admitiere,admitiéremos,admitiereis,admitieren,haya admitido,hayas admitido,haya admitido,hayamos admitido,hayáis admitido,hayan admitido,hubiere admitido,hubieres admitido,hubiere admitido,hubiéremos admitido,hubiereis admitido,hubieren admitido,hubiera admitido,hubieras admitido,hubiera admitido,hubiéramos admitido,hubierais admitido,hubieran admitido,N/A,admite,admitid,N/A,admita,admitan,N/A,no admitas,no admitáis,N/A,no admita,no admitan
adorar,to adore/worship,adoro,adoras,adora,adoramos,adoráis,adoran,adoraré,adorarás,adorará,adoraremos,adoraréis,adorarán,adoraba,adorabas,adoraba,adorábamos,adorabais,adoraban,adoré,adoraste,adoró,adoramos,adorasteis,adoraron,adoraría,adorarías,adoraría,adoraríamos,adoraríais,adorarían,he adorado,has adorado,ha adorado,hemos adorado,habéis adorado,han adorado,habré adorado,habrás adorado,habrá adorado,habremos adorado,habréis adorado,habrán adorado,había adorado,habías adorado,había adorado,habíamos adorado,habíais adorado,habían adorado,hube adorado,hubiste adorado,hubo adorado,hubimos adorado,hubisteis adorado,hubieron adorado,habría adorado,habrías adorado,habría adorado,habríamos adorado,habríais adorado,habrían adorado,adore,adores,adore,adoremos,adoréis,adoren,adorara,adoraras,adorara,adoráramos,adorarais,adoraran,adorare,adorares,adorare,adoráremos,adorareis,adoraren,haya adorado,hayas adorado,haya adorado,hayamos adorado,hayáis adorado,hayan adorado,hubiere adorado,hubieres adorado,hubiere adorado,hubiéremos adorado,hubiereis adorado,hubieren adorado,hubiera adorado,hubieras adorado,hubiera adorado,hubiéramos adorado,hubierais adorado,hubieran adorado,N/A,adora,adorad,N/A,adore,adoren,N/A,no adores,no adoréis,N/A,no adore,no adoren
